id,Rating,maincateg,platform,price1,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,combo,category
16695,3.9,Women,Flipkart,698,999,38.0,7.0,17.0,9.0,6.0,3,3,0,False,bellie
5120,3.8,Men,Flipkart,999,1999,531.0,69.0,264.0,92.0,73.0,29,73,1,True,sneaker
18391,4.4,Women,Flipkart,2749,4999,17.0,4.0,11.0,3.0,2.0,1,0,1,False,sneaker
495,4.2,Men,Flipkart,518,724,46413.0,6229.0,1045.0,12416.0,5352.0,701,4595,1,False,sandal
16408,3.9,Men,Flipkart,1379,2299,77.0,3.0,35.0,21.0,7.0,7,7,1,False,sandal
2692,4.1,Women,Flipkart,359,499,274.0,25.0,153.0,49.0,34.0,15,23,0,False,sandal
3236,4.0,Women,Flipkart,499,999,249.0,31.0,130.0,52.0,27.0,9,28,1,False,sandal
14633,3.9,Women,Flipkart,209,1299,121.0,17.0,63.0,25.0,14.0,9,12,0,False,sandal
1872,4.2,Women,Flipkart,549,999,191.0,30.0,120.0,25.0,31.0,7,12,1,False,sneaker
1668,4.1,Men,Flipkart,809,899,36126.0,5028.0,18688.0,9899.0,3709.0,1272,2558,0,False,sandal
12634,3.3,Men,Amazon,999,999,222.0,147.0,26.0,4.0,18.0,15,37,1,True,sneaker
19065,4.0,Women,Flipkart,599,1299,22.0,3.0,12.0,3.0,4.0,1,2,1,False,sandal
17455,4.1,Women,Flipkart,299,599,41.0,9.0,19.0,13.0,5.0,3,1,1,False,flip
7526,4.4,Women,Flipkart,599,1199,101.0,16.0,68.0,20.0,5.0,5,3,1,False,slipper
15555,4.5,Men,Flipkart,1979,3599,141.0,12.0,98.0,25.0,8.0,4,6,1,False,other
18031,4.2,Men,Flipkart,999,1999,732.0,99.0,378.0,230.0,70.0,24,30,1,False,sandal
9354,4.0,Men,Flipkart,379,999,138.0,24.0,68.0,30.0,16.0,14,10,0,False,sandal
17732,4.2,Women,Flipkart,399,999,9305.0,1619.0,5660.0,1711.0,921.0,319,694,1,False,boot
4549,3.9,Women,Flipkart,399,999,1353.0,202.0,698.0,258.0,174.0,77,146,0,False,sneaker
12336,4.0,Men,Flipkart,499,999,0.0,0.0,28.0,9.0,10.0,2,5,0,False,sandal
2917,4.0,Men,Flipkart,236,499,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,False,sneaker
